loan_id,issue_date,grade,sub_grade,term,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,home_ownership,purpose,application_type,default_12m,origination_z,issue_year,lgd,ead,eir,pd_test_baseline,pd_test_adverse,lifetime_pd_baseline,lifetime_pd_adverse,stage_baseline,stage_adverse,sicr_baseline,sicr_adverse,ecl_baseline,ecl_adverse
49,2024-04-13,B,B4,60,0.0795,25000,30743,8.15,0,2,6,0,99321,43.7,31,8,MORTGAGE,small_business,Individual,0,-0.7945806660950429,2024,0.35,25500.0,0.0795,0.12154704901429379,0.23262294847728812,0.1615470490142938,0.3326229484772881,1,1,0,0,422.7774445910186,809.1330600621201
50,2025-08-06,D,D4,36,0.1214,25000,47817,17.87,0,2,9,0,9704,80.3,13,4,MORTGAGE,small_business,Individual,0,-0.48320572221742286,2025,0.55,25500.0,0.1214,0.1453878412931491,0.2782506740281544,0.1853878412931491,0.3782506740281544,1,1,0,0,639.5412323621048,1223.9866648459383
51,2025-05-08,F,F3,36,0.1781,25000,72136,30.67,0,3,11,0,9872,24.0,23,0,MORTGAGE,credit_card,Individual,1,-0.8979714381575643,2025,0.75,25500.0,0.1781,0.15402518416815625,0.29478126183664305,0.19402518416815626,0.3947812618366431,3,3,0,0,3520.742916946097,6773.7122495512085
54,2021-04-29,C,C5,36,0.1039,20000,37525,32.72,0,1,7,0,24983,75.0,27,1,OWN,debt_consolidation,Individual,0,0.1782951632709815,2021,0.45,20400.0,0.1039,0.09423975042451432,0.18036084615214512,0.13423975042451433,0.2803608461521451,1,1,0,0,425.2449640028513,813.8555247016192
55,2021-10-26,E,E2,60,0.1529,20000,48378,15.26,0,2,10,0,4224,49.3,33,0,MORTGAGE,debt_consolidation,Joint App,0,0.48615095125120006,2021,0.65,20400.0,0.1529,0.14018672314813854,0.26829650855821524,0.18018672314813855,0.3682965085582153,1,1,0,0,588.136477570158,1125.605620448485
57,2022-06-23,B,B3,36,0.0769,25000,48869,5.85,1,1,19,0,21931,14.6,24,2,MORTGAGE,other,Individual,0,0.13633167627753218,2022,0.35,25500.0,0.0769,0.10576758025189645,0.20242339547553265,0.14576758025189646,0.30242339547553265,1,1,0,0,423.7981720085473,811.0865803111326
59,2025-03-09,B,B5,36,0.0748,20000,50013,11.33,1,1,11,0,17941,48.3,30,2,MORTGAGE,debt_consolidation,Individual,0,-1.2410275949959866,2025,0.35,20400.0,0.0748,0.11528735924187423,0.22064283457717918,0.15528735924187423,0.3206428345771792,1,1,0,0,339.7009686907365,650.1370586803562
60,2024-05-13,E,E3,36,0.1461,20000,56789,4.01,0,1,6,0,63136,73.1,15,2,RENT,home_improvement,Individual,1,-0.6161909720070077,2024,0.65,20400.0,0.1461,0.1039042767962253,0.19885731018361272,0.1439042767962253,0.2988573101836127,3,3,0,0,2678.1886334412934,5153.621516268852
61,2027-08-26,G,G3,36,0.194,25000,144104,9.42,0,2,10,0,2382,54.7,16,3,MORTGAGE,credit_card,Individual,0,0.88949549604,2027,0.85,25500.0,0.194,0.13394356338710664,0.2563480306379063,0.17394356338710665,0.3563480306379063,1,1,0,0,928.2843113678005,1776.5979123869345
62,2025-03-09,D,D1,36,0.1313,20000,37086,19.88,2,2,9,0,6963,23.5,21,4,RENT,other,Individual,1,-1.2410275949959866,2025,0.55,20400.0,0.1313,0.1827174769057151,0.3496940366782561,0.2227174769057151,0.44969403667825614,2,2,0,0,2035.6094979725804,3917.4513358967292
63,2020-01-05,A,A3,36,0.045,20000,101772,3.78,0,0,12,0,10448,81.1,13,1,MORTGAGE,debt_consolidation,Individual,0,0.4386741688129359,2020,0.3,20400.0,0.045,0.08602419700055541,0.1646375005312304,0.12602419700055542,0.2646375005312304,1,1,0,0,299.4755443462504,573.1515876989587
64,2028-03-23,C,C4,36,0.1037,20000,130851,5.53,0,1,3,0,11883,43.5,14,0,OWN,debt_consolidation,Individual,0,2.3135719586995656,2028,0.45,20400.0,0.1037,0.11959355628846073,0.2288842543551562,0.15959355628846073,0.3288842543551562,1,1,0,0,425.32202207370443,814.0030023721279
65,2020-08-02,A,A3,60,0.0521,35000,49031,23.03,0,2,9,0,3121,22.1,35,5,MORTGAGE,debt_consolidation,Individual,0,0.3172559742184534,2020,0.3,35700.0,0.0521,0.1029896046274316,0.19710676388470683,0.1429896046274316,0.2971067638847068,1,1,0,0,520.5454821055083,996.2465221979567
67,2027-05-28,B,B1,36,0.0724,15000,89224,9.77,0,4,11,0,3852,45.3,27,0,RENT,other,Individual,0,-0.3947415538026391,2027,0.35,15300.0,0.0724,0.11895657557794123,0.22766516814775037,0.15895657557794124,0.3276651681477504,1,1,0,0,255.34590718165114,488.6940348771309
68,2020-01-05,D,D1,36,0.121,25000,81486,15.11,1,2,12,0,8902,23.7,14,5,MORTGAGE,credit_card,Individual,0,0.4386741688129359,2020,0.55,25500.0,0.121,0.13651612045799277,0.26127152171242224,0.17651612045799278,0.36127152171242227,1,1,0,0,639.769436191672,1224.423412986829
70,2021-05-29,B,B2,36,0.0735,15000,44747,29.54,0,3,16,0,19218,36.0,25,8,RENT,small_business,Individual,0,0.6214170320520574,2021,0.35,15300.0,0.0735,0.1329192023782921,0.2543875562363634,0.17291920237829211,0.3543875562363634,1,1,0,0,255.08425790554512,488.19327713296246
71,2025-11-04,B,B5,60,0.0688,15000,93572,17.03,1,3,16,0,26981,24.3,23,0,MORTGAGE,debt_consolidation,Individual,0,1.2003611313641296,2025,0.35,15300.0,0.0688,0.0963816186878263,0.18446006299617534,0.1363816186878263,0.2844600629961753,1,1,0,0,256.2059794738049,490.34008514430684
73,2021-04-29,B,B3,36,0.071,20000,66032,19.09,0,3,8,0,11228,54.9,30,3,MORTGAGE,debt_consolidation,Individual,0,0.1782951632709815,2021,0.35,20400.0,0.071,0.10687418092872414,0.20454126435279635,0.14687418092872415,0.3045412643527964,1,1,0,0,340.90625690831337,652.4438008119952
75,2024-05-13,A,A2,36,0.0488,25000,104082,0.42,0,2,14,0,102528,64.1,6,7,MORTGAGE,credit_card,Individual,0,-0.6161909720070077,2024,0.3,25500.0,0.0488,0.08435481348744883,0.16144254912675363,0.12435481348744884,0.26144254912675363,1,1,0,0,372.9881100326941,713.8436893895544
76,2021-06-28,B,B3,36,0.0813,20000,187683,9.82,0,0,11,0,5270,28.5,30,5,MORTGAGE,other,Individual,0,-1.0279611873440095,2021,0.35,20400.0,0.0813,0.1158731211985206,0.22176389571824298,0.1558731211985206,0.321763895718243,1,1,0,0,337.6589301292922,646.2289010169674
79,2022-09-21,A,A5,60,0.0454,25000,28730,13.05,0,4,12,0,1098,48.4,24,7,MORTGAGE,home_improvement,Individual,1,-1.5650134065906065,2022,0.3,25500.0,0.0454,0.12509057260469253,0.23940472485345043,0.16509057260469254,0.3394047248534504,3,3,0,0,2316.969945683509,4461.343106430069
80,2024-02-13,C,C3,60,0.1013,20000,146816,21.83,0,1,18,0,35276,51.0,6,0,OWN,other,Individual,0,0.7975492106021627,2024,0.45,20400.0,0.1013,0.10921643429826149,0.20902398844458872,0.14921643429826148,0.3090239884445887,1,1,0,0,426.2489019910538,815.7769124835354
81,2027-11-24,B,B2,36,0.0716,20000,66586,21.97,0,1,8,0,4342,39.9,14,7,MORTGAGE,credit_card,Individual,0,1.39696941039572,2027,0.35,20400.0,0.0716,0.13757861801296795,0.26330498378322226,0.17757861801296795,0.3633049837832223,1,1,0,0,340.7153799447588,652.078490733153
82,2020-12-30,B,B1,36,0.085,20000,55122,24.21,0,1,11,0,1882,21.0,23,2,MORTGAGE,home_improvement,Individual,0,0.8640024985787829,2020,0.35,20400.0,0.085,0.11537820309356642,0.22081669617894611,0.15537820309356642,0.32081669617894615,1,1,0,0,336.50746649659317,644.0251711240984
84,2026-06-02,B,B5,36,0.0715,20000,68779,22.64,1,3,10,0,9866,14.7,28,8,MORTGAGE,credit_card,Individual,0,1.1963120653821235,2026,0.35,20400.0,0.0715,0.10227404432371928,0.19573728803965124,0.1422740443237193,0.29573728803965127,1,1,0,0,340.7471779270216,652.1393473351815
85,2023-08-17,C,C3,60,0.0985,35000,43461,9.4,0,3,7,0,14945,82.6,10,8,RENT,home_improvement,Individual,0,-0.15072524015949562,2023,0.45,35700.0,0.0985,0.1516652845897603,0.2902647655293389,0.19166528458976032,0.39026476552933886,1,1,0,0,747.8369163266345,1431.2484742892177
86,2024-07-12,F,F5,36,0.1754,15000,124932,24.4,0,1,12,1,17126,7.0,20,5,MORTGAGE,home_improvement,Joint App,0,-0.775574809435447,2024,0.75,15300.0,0.1754,0.09986237972195758,0.19112172118755813,0.13986237972195759,0.29112172118755814,1,1,0,0,499.22145201925673,955.4355046347175
89,2025-07-07,A,A4,36,0.05,25000,44718,16.41,1,1,11,0,32518,26.1,22,7,RENT,credit_card,Individual,0,-1.074416383347664,2025,0.3,25500.0,0.05,0.08965540119236323,0.1715870845192554,0.12965540119236324,0.2715870845192554,1,1,0,0,372.5618379069424,713.0278680302519
90,2026-05-03,A,A1,60,0.0431,20000,43407,23.1,1,0,6,0,12681,51.0,13,6,MORTGAGE,debt_consolidation,Individual,0,1.4025270543896295,2026,0.3,20400.0,0.0431,0.09782193626609476,0.18721661631867578,0.13782193626609476,0.2872166163186758,1,1,0,0,300.0210371410523,574.1955796619804
91,2020-11-30,A,A1,36,0.0483,20000,61064,4.2,0,1,9,0,11569,52.9,8,7,RENT,debt_consolidation,Individual,0,0.5577506947332821,2020,0.3,20400.0,0.0483,0.09050937634184779,0.17322146576347688,0.13050937634184778,0.2732214657634769,1,1,0,0,298.53280915943105,571.347332963285
92,2026-01-03,D,D4,36,0.128,35000,100923,2.17,0,0,9,0,26435,39.0,27,1,RENT,home_improvement,Individual,0,1.1131257793729337,2026,0.55,35700.0,0.128,0.12465673278043758,0.23857442004635315,0.16465673278043758,0.3385744200463532,1,1,0,0,890.1189301056826,1703.555057040363
93,2026-07-02,E,E3,60,0.1467,20000,85654,22.2,0,0,11,0,8461,32.4,21,5,RENT,credit_card,Individual,0,1.4657484609573224,2026,0.65,20400.0,0.1467,0.09823605317596724,0.18800917440519513,0.13823605317596724,0.28800917440519513,1,1,0,0,591.3164253864439,1131.6915669443258
94,2020-04-04,B,B4,36,0.0784,20000,42379,29.77,1,2,12,0,2371,100.0,22,4,RENT,debt_consolidation,Individual,0,-0.4636820525727293,2020,0.35,20400.0,0.0784,0.10781115265157254,0.20633448867684562,0.14781115265157255,0.30633448867684565,1,1,0,0,338.5669521038609,647.9667198346132
95,2027-03-29,B,B4,36,0.0752,20000,93846,6.92,0,0,12,0,7297,42.9,24,2,RENT,small_business,Individual,0,0.27590919321032803,2027,0.35,20400.0,0.0752,0.11123467587015659,0.2128866022143271,0.1512346758701566,0.31288660221432707,1,1,0,0,339.57459184226525,649.8951922150733
98,2024-04-13,C,C3,36,0.0913,35000,70890,12.47,1,1,18,0,2490,28.3,23,6,RENT,debt_consolidation,Individual,1,-0.7945806660950429,2024,0.45,35700.0,0.0913,0.14594581829216527,0.27931855889863266,0.18594581829216528,0.37931855889863264,3,3,0,0,3940.603746749989,7585.3951555912045
99,2023-09-16,D,D3,36,0.1216,15000,34126,14.95,0,1,12,0,2840,32.8,35,4,MORTGAGE,other,Individual,0,-0.5285882803870269,2023,0.55,15300.0,0.1216,0.15248674226878686,0.2918369131782875,0.19248674226878687,0.3918369131782875,1,1,0,0,383.6563148916892,734.2610445568306
101,2026-06-02,B,B2,36,0.0842,20000,152635,18.97,0,4,9,0,8772,10.2,9,3,RENT,other,Individual,0,1.1963120653821235,2026,0.35,20400.0,0.0842,0.10651145831699009,0.20384706729819707,0.14651145831699008,0.3038470672981971,1,1,0,0,336.75576567866034,644.5003787766526
103,2026-01-03,C,C3,36,0.1003,25000,229002,9.16,0,4,5,0,5325,42.2,10,4,RENT,medical,Individual,0,1.1131257793729337,2026,0.45,25500.0,0.1003,0.1263737553559202,0.24186054552080924,0.1663737553559202,0.34186054552080924,1,1,0,0,533.2953691751653,1020.6479070686603
105,2025-12-04,F,F2,60,0.1791,25000,92666,14.42,0,1,20,1,9704,16.7,37,3,MORTGAGE,debt_consolidation,Individual,0,1.0705250345671091,2025,0.75,25500.0,0.1791,0.11891507555169385,0.2275857432785673,0.15891507555169385,0.32758574327856727,1,1,0,0,829.4248363206885,1587.3956013734303
106,2025-10-05,A,A1,36,0.0564,35000,59689,14.9,1,2,6,0,1569,39.0,14,8,MORTGAGE,debt_consolidation,Individual,0,-0.044409929329181974,2025,0.3,35700.0,0.0564,0.09163724084508103,0.17538003043742575,0.13163724084508102,0.27538003043742576,1,1,0,0,518.426639268464,992.1913725903732
107,2025-09-05,D,D1,60,0.1266,15000,53605,13.13,0,3,17,0,5507,32.1,17,3,MORTGAGE,other,Individual,0,-0.5620585017578206,2025,0.55,15300.0,0.1266,0.11317035170780622,0.21659119746614064,0.1531703517078062,0.3165911974661406,1,1,0,0,381.95359735710855,731.0022968000543
108,2024-02-13,D,D3,60,0.1296,15000,104997,17.75,0,0,17,1,10010,27.0,32,8,RENT,debt_consolidation,Individual,0,0.7975492106021627,2024,0.55,15300.0,0.1296,0.17383087262106028,0.33268639965693936,0.2138308726210603,0.43268639965693934,1,1,0,0,380.93920217999164,729.0608955160599
109,2021-05-29,F,F5,60,0.1773,20000,137479,10.19,0,2,9,0,7089,8.0,37,10,MORTGAGE,medical,Individual,0,0.6214170320520574,2021,0.75,20400.0,0.1773,0.10989418417444331,0.21032110076287291,0.1498941841744433,0.3103211007628729,1,1,0,0,664.5543698331599,1271.8580844844382
110,2024-08-11,C,C5,60,0.1026,25000,100187,18.11,0,1,3,0,1439,44.1,20,10,RENT,home_improvement,Joint App,0,-0.11140897324744892,2024,0.45,25500.0,0.1026,0.10917535658631351,0.2089453718220748,0.1491753565863135,0.3089453718220748,1,1,0,0,532.1829264496955,1018.5188573804162
112,2025-09-05,E,E3,36,0.1484,15000,80622,9.61,1,3,10,1,7936,82.6,38,10,MORTGAGE,debt_consolidation,Individual,1,-0.5620585017578206,2025,0.65,15300.0,0.1484,0.10940585805969806,0.20938651731101848,0.14940585805969805,0.3093865173110185,2,2,0,0,1731.2850272559767,3331.4563932006954
113,2022-07-23,D,D2,36,0.1224,20000,42555,0.46,0,0,10,0,4111,75.2,11,2,RENT,debt_consolidation,Individual,0,-0.26970071424568565,2022,0.55,20400.0,0.1224,0.14281178346649712,0.2733204830285086,0.18281178346649712,0.3733204830285086,1,1,0,0,511.17714752021686,978.3169251306024
114,2021-03-30,C,C2,36,0.0941,20000,54375,26.53,0,0,13,0,3264,40.6,24,2,RENT,credit_card,Individual,0,0.9199964836208514,2021,0.45,20400.0,0.0941,0.12863542039848191,0.2461890355576743,0.16863542039848192,0.34618903555767433,1,1,0,0,429.0539400079952,821.1453374628621
115,2021-11-25,D,D4,60,0.1167,20000,159862,24.72,1,1,11,0,10055,75.4,18,5,RENT,debt_consolidation,Individual,0,-0.13446258183354565,2021,0.55,20400.0,0.1167,0.15719792629927146,0.300853417724289,0.19719792629927146,0.40085341772428895,1,1,0,0,513.7863619384717,983.310572908201
116,2022-09-21,B,B5,36,0.0729,35000,33603,10.76,1,3,4,0,9190,5.6,11,6,OWN,debt_consolidation,Individual,0,-1.5650134065906065,2022,0.35,35700.0,0.0729,0.09015752587462035,0.17254807637415542,0.13015752587462034,0.27254807637415546,1,1,0,0,595.5294547585108,1139.7546776697568
121,2020-12-30,F,F1,60,0.1737,20000,44596,15.5,0,1,3,1,29011,22.6,19,3,MORTGAGE,debt_consolidation,Individual,0,0.8640024985787829,2020,0.75,20400.0,0.1737,0.18889857596456566,0.3615237396579715,0.22889857596456567,0.46152373965797155,1,1,0,0,666.5927064876707,1275.759157249322
122,2024-02-13,D,D1,60,0.1204,20000,48114,23.82,0,2,15,0,6413,28.7,24,6,MORTGAGE,credit_card,Individual,0,0.7975492106021627,2024,0.55,20400.0,0.1204,0.12837078542933827,0.24568256364172386,0.16837078542933828,0.3456825636417239,1,1,0,0,512.0896379656297,980.0632959359051
123,2023-12-15,E,E1,36,0.1544,20000,67673,14.38,0,2,9,0,6437,18.0,27,6,MORTGAGE,credit_card,Individual,0,-0.15257726018505652,2023,0.65,20400.0,0.1544,0.14561491754428504,0.27868526415187017,0.18561491754428505,0.3786852641518702,1,1,0,0,587.3722669704048,1124.1430351828296
