loan_id,issue_date,grade,sub_grade,term,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,home_ownership,purpose,application_type,default_12m,origination_z
24,2027-08-26,F,F1,36,0.1667,35000,87893,29.02,0,0,7,0,8554,29.9,18,9,MORTGAGE,debt_consolidation,Individual,0,0.88949549604
25,2025-09-05,D,D4,60,0.1181,35000,99462,22.25,0,0,13,0,2871,47.7,27,0,RENT,debt_consolidation,Individual,0,-0.5620585017578206
26,2023-10-16,F,F5,36,0.1727,10000,20000,11.95,1,0,9,0,7576,52.8,25,7,OWN,home_improvement,Individual,0,0.2800633672575088
27,2020-07-03,C,C3,60,0.1101,15000,77473,17.54,0,1,9,0,5908,37.8,17,0,MORTGAGE,credit_card,Individual,0,0.37947831750372485
28,2026-04-03,D,D1,36,0.1251,35000,107248,20.62,3,0,11,0,52308,95.2,22,4,OWN,home_improvement,Individual,0,1.0065396195877447
29,2022-06-23,C,C3,36,0.0969,20000,68089,32.04,0,1,10,0,7481,28.6,29,7,MORTGAGE,debt_consolidation,Individual,0,0.13633167627753218
30,2021-01-29,F,F2,36,0.1716,20000,63474,26.29,0,1,18,0,7750,51.5,24,6,RENT,credit_card,Individual,0,0.738360459617036
31,2021-02-28,C,C3,36,0.0934,10000,38761,26.35,0,2,9,0,9664,48.1,14,3,MORTGAGE,debt_consolidation,Individual,0,1.3797391395716763
32,2018-01-15,B,B1,36,0.0794,10000,51213,18.59,1,2,6,0,12560,60.3,29,6,RENT,small_business,Individual,0,-2.0065211474048192
33,2016-03-26,C,C2,60,0.0995,35000,41098,8.36,0,0,11,0,3686,50.3,20,2,MORTGAGE,debt_consolidation,Individual,0,-0.5648920355292593
34,2022-07-23,C,C5,36,0.1105,20000,112630,5.35,1,2,6,0,20706,24.1,19,1,OWN,debt_consolidation,Individual,0,-0.26970071424568565
35,2027-02-27,A,A1,36,0.0531,25000,148458,15.29,0,1,9,0,7380,61.3,7,2,MORTGAGE,debt_consolidation,Individual,0,0.4791662089923643
36,2015-10-28,B,B5,60,0.0791,15000,188420,24.29,1,2,15,0,16676,45.5,34,2,RENT,other,Individual,0,0.14886943926790308
37,2026-09-30,B,B3,36,0.0738,15000,40726,13.48,1,1,10,0,3244,69.6,26,6,MORTGAGE,debt_consolidation,Individual,0,0.1022325365530995
38,2026-05-03,E,E3,60,0.1445,20000,45004,23.15,1,2,13,0,6982,64.7,18,10,MORTGAGE,debt_consolidation,Individual,0,1.4025270543896295
39,2018-10-12,B,B5,60,0.0706,35000,43036,10.85,0,1,10,0,35393,60.1,27,6,RENT,debt_consolidation,Individual,0,-0.24847719824399428
40,2023-08-17,E,E2,60,0.1432,15000,37120,12.24,0,4,12,0,58539,68.4,32,3,MORTGAGE,small_business,Individual,0,-0.15072524015949562
41,2017-03-21,C,C5,60,0.1046,20000,37451,30.67,1,3,8,0,15640,30.9,29,1,MORTGAGE,debt_consolidation,Individual,0,-0.3391072923007621
42,2025-05-08,D,D2,36,0.1231,20000,48953,24.9,0,1,14,0,2616,47.4,18,2,RENT,home_improvement,Individual,1,-0.8979714381575643
43,2024-07-12,A,A2,36,0.0548,10000,105146,15.24,1,2,5,0,1269,72.9,13,1,MORTGAGE,credit_card,Individual,0,-0.775574809435447
44,2019-11-06,F,F3,36,0.1757,20000,43797,10.53,0,1,7,0,15630,51.0,16,1,MORTGAGE,debt_consolidation,Individual,0,-0.44911759296945697
45,2015-11-27,C,C4,36,0.0985,20000,115998,26.54,0,2,11,1,58092,25.8,25,3,MORTGAGE,medical,Individual,0,0.6378558691372317
46,2028-04-22,B,B2,36,0.0692,10000,137895,25.89,0,4,14,0,5436,19.1,10,4,MORTGAGE,medical,Individual,1,1.3584580238150448
47,2021-01-29,B,B4,36,0.0765,20000,76034,23.75,0,0,11,0,6631,64.4,38,2,MORTGAGE,home_improvement,Individual,0,0.738360459617036
48,2027-03-29,B,B1,36,0.0739,10000,127792,16.4,0,1,13,0,10561,31.2,24,8,RENT,home_improvement,Individual,0,0.27590919321032803
49,2024-04-13,B,B4,60,0.0795,25000,30743,8.15,0,2,6,0,99321,43.7,31,8,MORTGAGE,small_business,Individual,0,-0.7945806660950429
50,2025-08-06,D,D4,36,0.1214,25000,47817,17.87,0,2,9,0,9704,80.3,13,4,MORTGAGE,small_business,Individual,0,-0.48320572221742286
51,2025-05-08,F,F3,36,0.1781,25000,72136,30.67,0,3,11,0,9872,24.0,23,0,MORTGAGE,credit_card,Individual,1,-0.8979714381575643
52,2017-08-18,D,D4,36,0.1332,25000,73491,9.82,0,1,11,0,5533,74.6,16,5,RENT,other,Joint App,0,-0.35223126085135503
53,2019-12-06,C,C4,36,0.1014,20000,142660,18.43,0,1,6,0,8965,20.0,5,7,RENT,medical,Individual,0,-0.3224525008734069
54,2021-04-29,C,C5,36,0.1039,20000,37525,32.72,0,1,7,0,24983,75.0,27,1,OWN,debt_consolidation,Individual,0,0.1782951632709815
55,2021-10-26,E,E2,60,0.1529,20000,48378,15.26,0,2,10,0,4224,49.3,33,0,MORTGAGE,debt_consolidation,Joint App,0,0.48615095125120006
56,2015-07-30,E,E3,36,0.1595,10000,62031,16.85,0,6,13,0,21002,2.3,43,9,RENT,debt_consolidation,Joint App,0,-0.4948050089808375
57,2022-06-23,B,B3,36,0.0769,25000,48869,5.85,1,1,19,0,21931,14.6,24,2,MORTGAGE,other,Individual,0,0.13633167627753218
58,2017-01-20,F,F2,36,0.1785,10000,36632,23.61,0,2,6,0,3657,23.5,18,3,RENT,home_improvement,Individual,0,-1.555281203289113
59,2025-03-09,B,B5,36,0.0748,20000,50013,11.33,1,1,11,0,17941,48.3,30,2,MORTGAGE,debt_consolidation,Individual,0,-1.2410275949959866
60,2024-05-13,E,E3,36,0.1461,20000,56789,4.01,0,1,6,0,63136,73.1,15,2,RENT,home_improvement,Individual,1,-0.6161909720070077
61,2027-08-26,G,G3,36,0.194,25000,144104,9.42,0,2,10,0,2382,54.7,16,3,MORTGAGE,credit_card,Individual,0,0.88949549604
62,2025-03-09,D,D1,36,0.1313,20000,37086,19.88,2,2,9,0,6963,23.5,21,4,RENT,other,Individual,1,-1.2410275949959866
63,2020-01-05,A,A3,36,0.045,20000,101772,3.78,0,0,12,0,10448,81.1,13,1,MORTGAGE,debt_consolidation,Individual,0,0.4386741688129359
64,2028-03-23,C,C4,36,0.1037,20000,130851,5.53,0,1,3,0,11883,43.5,14,0,OWN,debt_consolidation,Individual,0,2.3135719586995656
65,2020-08-02,A,A3,60,0.0521,35000,49031,23.03,0,2,9,0,3121,22.1,35,5,MORTGAGE,debt_consolidation,Individual,0,0.3172559742184534
66,2019-06-09,D,D4,36,0.1296,25000,74988,17.35,0,1,11,0,2305,42.1,14,2,MORTGAGE,debt_consolidation,Individual,0,0.019416890662816377
67,2027-05-28,B,B1,36,0.0724,15000,89224,9.77,0,4,11,0,3852,45.3,27,0,RENT,other,Individual,0,-0.3947415538026391
68,2020-01-05,D,D1,36,0.121,25000,81486,15.11,1,2,12,0,8902,23.7,14,5,MORTGAGE,credit_card,Individual,0,0.4386741688129359
69,2015-12-27,F,F2,36,0.1769,10000,68003,33.64,0,2,11,0,5039,68.8,20,4,RENT,debt_consolidation,Individual,0,0.44328156049155576
70,2021-05-29,B,B2,36,0.0735,15000,44747,29.54,0,3,16,0,19218,36.0,25,8,RENT,small_business,Individual,0,0.6214170320520574
71,2025-11-04,B,B5,60,0.0688,15000,93572,17.03,1,3,16,0,26981,24.3,23,0,MORTGAGE,debt_consolidation,Individual,0,1.2003611313641296
72,2017-07-19,C,C5,36,0.1097,20000,52901,25.35,1,0,10,0,3408,60.3,14,4,MORTGAGE,debt_consolidation,Individual,0,-0.7127402160462393
73,2021-04-29,B,B3,36,0.071,20000,66032,19.09,0,3,8,0,11228,54.9,30,3,MORTGAGE,debt_consolidation,Individual,0,0.1782951632709815
74,2016-09-22,A,A3,36,0.045,20000,71599,2.03,0,0,11,0,8888,64.7,23,1,MORTGAGE,credit_card,Individual,0,0.4459980552593449
75,2024-05-13,A,A2,36,0.0488,25000,104082,0.42,0,2,14,0,102528,64.1,6,7,MORTGAGE,credit_card,Individual,0,-0.6161909720070077
76,2021-06-28,B,B3,36,0.0813,20000,187683,9.82,0,0,11,0,5270,28.5,30,5,MORTGAGE,other,Individual,0,-1.0279611873440095
77,2019-07-09,C,C4,36,0.0892,15000,43319,3.82,0,1,6,0,12129,42.1,22,4,RENT,debt_consolidation,Individual,0,-0.033669241580199946
78,2018-01-15,C,C4,36,0.1058,20000,66906,20.44,0,3,14,0,59176,0.0,20,2,MORTGAGE,credit_card,Individual,1,-2.0065211474048192
79,2022-09-21,A,A5,60,0.0454,25000,28730,13.05,0,4,12,0,1098,48.4,24,7,MORTGAGE,home_improvement,Individual,1,-1.5650134065906065
80,2024-02-13,C,C3,60,0.1013,20000,146816,21.83,0,1,18,0,35276,51.0,6,0,OWN,other,Individual,0,0.7975492106021627
81,2027-11-24,B,B2,36,0.0716,20000,66586,21.97,0,1,8,0,4342,39.9,14,7,MORTGAGE,credit_card,Individual,0,1.39696941039572
82,2020-12-30,B,B1,36,0.085,20000,55122,24.21,0,1,11,0,1882,21.0,23,2,MORTGAGE,home_improvement,Individual,0,0.8640024985787829
83,2017-02-19,D,D4,36,0.1256,20000,66894,9.62,0,0,12,0,11017,71.4,13,3,RENT,credit_card,Individual,1,-1.098816712927144
84,2026-06-02,B,B5,36,0.0715,20000,68779,22.64,1,3,10,0,9866,14.7,28,8,MORTGAGE,credit_card,Individual,0,1.1963120653821235
85,2023-08-17,C,C3,60,0.0985,35000,43461,9.4,0,3,7,0,14945,82.6,10,8,RENT,home_improvement,Individual,0,-0.15072524015949562
86,2024-07-12,F,F5,36,0.1754,15000,124932,24.4,0,1,12,1,17126,7.0,20,5,MORTGAGE,home_improvement,Joint App,0,-0.775574809435447
87,2016-04-25,C,C2,36,0.1009,10000,92665,29.0,0,2,9,0,7250,38.4,34,5,MORTGAGE,home_improvement,Individual,0,-0.43730334634110984
88,2019-04-10,C,C1,36,0.1022,25000,100051,24.51,1,1,11,0,46805,0.0,14,4,RENT,debt_consolidation,Individual,0,0.16586257636631224
89,2025-07-07,A,A4,36,0.05,25000,44718,16.41,1,1,11,0,32518,26.1,22,7,RENT,credit_card,Individual,0,-1.074416383347664
90,2026-05-03,A,A1,60,0.0431,20000,43407,23.1,1,0,6,0,12681,51.0,13,6,MORTGAGE,debt_consolidation,Individual,0,1.4025270543896295
91,2020-11-30,A,A1,36,0.0483,20000,61064,4.2,0,1,9,0,11569,52.9,8,7,RENT,debt_consolidation,Individual,0,0.5577506947332821
92,2026-01-03,D,D4,36,0.128,35000,100923,2.17,0,0,9,0,26435,39.0,27,1,RENT,home_improvement,Individual,0,1.1131257793729337
93,2026-07-02,E,E3,60,0.1467,20000,85654,22.2,0,0,11,0,8461,32.4,21,5,RENT,credit_card,Individual,0,1.4657484609573224
94,2020-04-04,B,B4,36,0.0784,20000,42379,29.77,1,2,12,0,2371,100.0,22,4,RENT,debt_consolidation,Individual,0,-0.4636820525727293
95,2027-03-29,B,B4,36,0.0752,20000,93846,6.92,0,0,12,0,7297,42.9,24,2,RENT,small_business,Individual,0,0.27590919321032803
96,2018-12-11,B,B2,36,0.0739,20000,38081,18.14,0,2,14,0,5787,100.0,14,4,RENT,home_improvement,Individual,0,0.17831549917173733
97,2018-04-15,C,C4,60,0.106,20000,45172,21.95,0,1,11,0,9324,83.3,11,9,RENT,debt_consolidation,Joint App,1,-0.6269980670154784
98,2024-04-13,C,C3,36,0.0913,35000,70890,12.47,1,1,18,0,2490,28.3,23,6,RENT,debt_consolidation,Individual,1,-0.7945806660950429
99,2023-09-16,D,D3,36,0.1216,15000,34126,14.95,0,1,12,0,2840,32.8,35,4,MORTGAGE,other,Individual,0,-0.5285882803870269
100,2016-11-21,F,F4,60,0.1812,15000,38261,23.52,2,1,5,0,25720,85.4,24,3,MORTGAGE,other,Individual,1,-0.8962315729269292
101,2026-06-02,B,B2,36,0.0842,20000,152635,18.97,0,4,9,0,8772,10.2,9,3,RENT,other,Individual,0,1.1963120653821235
102,2017-09-17,C,C3,60,0.1114,20000,137804,19.01,1,0,23,0,6155,80.0,48,5,MORTGAGE,debt_consolidation,Individual,0,-0.9263837757870595
103,2026-01-03,C,C3,36,0.1003,25000,229002,9.16,0,4,5,0,5325,42.2,10,4,RENT,medical,Individual,0,1.1131257793729337
104,2015-01-31,B,B1,36,0.0773,35000,83279,17.72,1,3,12,0,7006,0.0,5,8,RENT,credit_card,Individual,0,0.13432622866946803
105,2025-12-04,F,F2,60,0.1791,25000,92666,14.42,0,1,20,1,9704,16.7,37,3,MORTGAGE,debt_consolidation,Individual,0,1.0705250345671091
106,2025-10-05,A,A1,36,0.0564,35000,59689,14.9,1,2,6,0,1569,39.0,14,8,MORTGAGE,debt_consolidation,Individual,0,-0.044409929329181974
107,2025-09-05,D,D1,60,0.1266,15000,53605,13.13,0,3,17,0,5507,32.1,17,3,MORTGAGE,other,Individual,0,-0.5620585017578206
108,2024-02-13,D,D3,60,0.1296,15000,104997,17.75,0,0,17,1,10010,27.0,32,8,RENT,debt_consolidation,Individual,0,0.7975492106021627
109,2021-05-29,F,F5,60,0.1773,20000,137479,10.19,0,2,9,0,7089,8.0,37,10,MORTGAGE,medical,Individual,0,0.6214170320520574
110,2024-08-11,C,C5,60,0.1026,25000,100187,18.11,0,1,3,0,1439,44.1,20,10,RENT,home_improvement,Joint App,0,-0.11140897324744892
111,2018-10-12,B,B4,36,0.0704,15000,40955,14.71,0,1,13,0,8428,83.2,28,8,OWN,other,Individual,0,-0.24847719824399428
112,2025-09-05,E,E3,36,0.1484,15000,80622,9.61,1,3,10,1,7936,82.6,38,10,MORTGAGE,debt_consolidation,Individual,1,-0.5620585017578206
113,2022-07-23,D,D2,36,0.1224,20000,42555,0.46,0,0,10,0,4111,75.2,11,2,RENT,debt_consolidation,Individual,0,-0.26970071424568565
114,2021-03-30,C,C2,36,0.0941,20000,54375,26.53,0,0,13,0,3264,40.6,24,2,RENT,credit_card,Individual,0,0.9199964836208514
115,2021-11-25,D,D4,60,0.1167,20000,159862,24.72,1,1,11,0,10055,75.4,18,5,RENT,debt_consolidation,Individual,0,-0.13446258183354565
116,2022-09-21,B,B5,36,0.0729,35000,33603,10.76,1,3,4,0,9190,5.6,11,6,OWN,debt_consolidation,Individual,0,-1.5650134065906065
117,2015-06-30,C,C5,36,0.0987,15000,214255,24.14,2,0,10,0,13112,60.4,30,4,RENT,debt_consolidation,Individual,0,-0.6299581553720792
118,2016-11-21,E,E2,36,0.1505,20000,87937,8.78,0,1,12,0,66073,84.8,32,5,MORTGAGE,other,Individual,0,-0.8962315729269292
119,2018-04-15,B,B3,36,0.0778,10000,50301,15.24,0,1,13,0,14659,63.6,27,7,MORTGAGE,home_improvement,Individual,0,-0.6269980670154784
120,2016-07-24,C,C3,60,0.1009,15000,67485,13.23,0,3,16,0,3996,4.5,27,4,RENT,medical,Individual,0,-0.3808593576850513
121,2020-12-30,F,F1,60,0.1737,20000,44596,15.5,0,1,3,1,29011,22.6,19,3,MORTGAGE,debt_consolidation,Individual,0,0.8640024985787829
122,2024-02-13,D,D1,60,0.1204,20000,48114,23.82,0,2,15,0,6413,28.7,24,6,MORTGAGE,credit_card,Individual,0,0.7975492106021627
123,2023-12-15,E,E1,36,0.1544,20000,67673,14.38,0,2,9,0,6437,18.0,27,6,MORTGAGE,credit_card,Individual,0,-0.15257726018505652
124,2021-05-29,B,B4,36,0.0745,20000,54243,14.94,0,2,11,0,3348,36.8,43,3,RENT,debt_consolidation,Individual,0,0.6214170320520574
125,2026-08-31,G,G2,36,0.1978,25000,38910,24.69,0,2,14,0,14653,42.5,7,3,MORTGAGE,debt_consolidation,Individual,0,0.8443061635429892
126,2022-09-21,A,A4,36,0.0491,15000,57547,18.56,1,0,8,0,6122,39.2,16,6,RENT,medical,Individual,1,-1.5650134065906065
127,2016-01-26,C,C2,36,0.0963,25000,31542,12.67,0,0,9,0,20030,22.4,20,2,RENT,debt_consolidation,Individual,1,0.048900346546989326
128,2025-06-07,C,C4,36,0.0973,25000,32294,20.17,0,1,13,0,14974,72.7,26,0,MORTGAGE,credit_card,Individual,0,-0.019826101031090282
129,2022-10-21,D,D1,36,0.1222,10000,32112,26.93,0,1,8,0,3589,40.4,35,0,RENT,home_improvement,Individual,0,-1.0135474230746537
130,2023-08-17,F,F2,36,0.1736,20000,162978,27.5,0,1,12,0,3220,9.3,31,1,MORTGAGE,debt_consolidation,Individual,0,-0.15072524015949562
131,2022-09-21,D,D2,36,0.1283,10000,81245,6.08,0,1,6,0,10685,33.8,19,1,MORTGAGE,debt_consolidation,Individual,0,-1.5650134065906065
132,2022-07-23,C,C3,36,0.102,10000,90207,6.53,0,1,15,0,28978,31.0,27,6,MORTGAGE,other,Individual,1,-0.26970071424568565
133,2016-03-26,B,B3,36,0.0827,15000,65403,26.99,0,0,14,1,24136,0.0,20,4,MORTGAGE,small_business,Individual,0,-0.5648920355292593
134,2022-08-22,C,C1,36,0.1061,15000,85870,15.41,0,1,8,0,38386,35.4,24,6,MORTGAGE,home_improvement,Individual,0,-1.2187017380828626
135,2025-11-04,C,C4,36,0.1098,35000,124101,0.0,0,0,15,0,9902,77.1,31,5,MORTGAGE,debt_consolidation,Joint App,0,1.2003611313641296
136,2019-02-09,A,A5,60,0.0528,35000,81344,11.43,1,1,12,0,20870,38.6,1,4,RENT,home_improvement,Individual,0,0.07500341956386869
137,2023-03-20,C,C1,36,0.1027,20000,160223,14.05,0,1,7,0,26312,40.3,19,5,RENT,home_improvement,Individual,0,-1.07211058385116
138,2015-05-31,E,E1,36,0.1476,25000,63684,15.19,0,0,13,0,63063,58.7,13,7,OWN,home_improvement,Individual,0,-1.4554384943306125
139,2019-10-07,D,D5,36,0.1291,35000,90358,24.88,0,1,13,0,12789,30.1,14,2,RENT,small_business,Individual,0,-0.7215593593260395
140,2020-11-30,D,D4,36,0.1217,20000,95736,9.64,0,3,4,0,5832,17.7,16,6,MORTGAGE,credit_card,Individual,0,0.5577506947332821
141,2028-06-21,B,B5,36,0.0676,20000,38929,26.42,0,0,1,0,27229,62.5,5,6,OWN,credit_card,Individual,0,1.1985186560321777
142,2017-11-16,C,C4,36,0.1076,25000,66546,20.57,1,0,9,0,2285,44.5,33,8,OWN,credit_card,Joint App,0,-0.4242993981225127
143,2018-10-12,A,A4,36,0.0438,35000,23608,6.42,0,1,8,0,25377,2.1,44,0,MORTGAGE,debt_consolidation,Individual,0,-0.24847719824399428
144,2020-08-02,B,B1,36,0.0772,25000,60518,15.12,0,3,13,0,32986,55.2,23,6,MORTGAGE,debt_consolidation,Joint App,0,0.3172559742184534
145,2028-07-21,C,C3,60,0.0956,10000,55749,22.45,3,1,8,0,23848,52.9,36,6,RENT,credit_card,Individual,0,1.6156502537022346
146,2026-08-31,B,B2,36,0.0806,25000,53945,18.36,0,1,8,0,3375,1.2,16,2,RENT,debt_consolidation,Individual,0,0.8443061635429892
147,2015-05-31,A,A5,60,0.0563,15000,51948,21.41,0,0,18,0,10808,0.0,33,3,OWN,credit_card,Individual,1,-1.4554384943306125
148,2018-03-16,D,D1,36,0.1276,15000,86139,12.71,0,2,16,0,25740,28.3,17,2,RENT,other,Individual,0,-1.0869171475369148
149,2026-04-03,B,B1,36,0.0812,20000,39932,22.99,1,0,4,0,14667,100.0,16,3,RENT,credit_card,Individual,0,1.0065396195877447
150,2015-09-28,B,B3,36,0.075,25000,180798,14.41,0,2,16,1,8998,100.0,23,7,MORTGAGE,debt_consolidation,Individual,0,-0.6571305960492191
151,2026-08-31,B,B5,36,0.0862,15000,88810,40.92,1,2,17,0,10747,82.8,38,3,RENT,other,Individual,0,0.8443061635429892
152,2018-10-12,C,C5,60,0.1037,20000,41794,6.12,0,4,10,0,150000,26.1,32,9,RENT,debt_consolidation,Individual,0,-0.24847719824399428
153,2027-07-27,B,B3,36,0.0705,25000,92791,42.28,1,2,9,0,3216,24.2,35,1,RENT,debt_consolidation,Individual,0,0.534929239614959
154,2019-01-10,C,C3,60,0.1003,15000,112342,9.44,1,1,3,0,2435,12.5,9,0,RENT,medical,Individual,0,0.4868647868918664
155,2020-11-30,C,C2,36,0.0992,25000,79630,29.44,0,5,5,0,3374,14.1,12,1,OWN,small_business,Individual,0,0.5577506947332821
156,2024-01-14,A,A5,36,0.0487,20000,37382,25.45,0,1,10,0,72842,60.5,17,4,MORTGAGE,debt_consolidation,Individual,0,0.8684701046387879
157,2016-09-22,F,F1,36,0.1667,20000,222492,9.81,0,0,9,0,17810,88.4,35,5,RENT,debt_consolidation,Joint App,1,0.4459980552593449
158,2022-08-22,A,A1,36,0.0519,10000,92397,23.4,0,0,9,0,4955,38.7,28,6,MORTGAGE,other,Individual,0,-1.2187017380828626
159,2021-11-25,C,C3,36,0.0931,35000,32727,13.54,0,1,12,0,80459,31.3,5,1,RENT,credit_card,Joint App,0,-0.13446258183354565
160,2025-09-05,B,B2,36,0.0624,35000,72922,20.47,0,3,18,0,2774,21.9,19,4,RENT,small_business,Individual,0,-0.5620585017578206
161,2028-08-20,C,C3,60,0.0983,15000,57582,19.33,0,0,8,1,4782,39.6,15,3,RENT,credit_card,Individual,0,1.898669330995927
162,2024-01-14,B,B5,36,0.0712,25000,65230,14.86,0,0,8,0,2655,23.4,20,8,MORTGAGE,medical,Individual,0,0.8684701046387879
163,2020-08-02,E,E2,36,0.1457,25000,33711,14.11,0,1,10,0,9275,9.8,42,3,RENT,small_business,Individual,0,0.3172559742184534
164,2020-07-03,B,B5,36,0.0595,15000,66971,21.07,0,0,10,0,13795,49.5,20,6,MORTGAGE,credit_card,Individual,0,0.37947831750372485
165,2020-09-01,C,C2,60,0.0957,20000,41148,9.87,0,0,17,0,9985,24.9,18,5,MORTGAGE,home_improvement,Individual,0,0.8193905637940778
166,2026-02-02,B,B2,36,0.0741,35000,53631,10.21,2,2,10,0,28508,31.9,11,9,MORTGAGE,credit_card,Individual,0,1.498582811848105
167,2019-05-10,A,A1,60,0.0468,20000,80437,26.59,0,0,14,1,5773,45.4,29,6,MORTGAGE,credit_card,Individual,0,-0.20674311203968995
168,2017-03-21,B,B4,36,0.0769,35000,50010,21.86,0,1,21,0,6468,0.0,20,1,RENT,credit_card,Joint App,0,-0.3391072923007621
169,2019-07-09,C,C5,36,0.107,10000,55404,6.24,0,1,18,0,11643,6.7,14,10,MORTGAGE,other,Individual,0,-0.033669241580199946
170,2015-04-01,C,C5,36,0.1026,35000,102055,8.97,1,0,10,0,53997,48.3,27,5,RENT,debt_consolidation,Individual,0,0.06232608743951784
171,2016-05-25,G,G1,36,0.2051,35000,39871,0.0,0,1,9,0,13659,15.9,18,9,RENT,home_improvement,Individual,0,-0.6887349229081888
172,2016-03-26,D,D4,36,0.1305,15000,45501,26.19,0,3,7,0,6441,46.2,20,6,MORTGAGE,small_business,Individual,0,-0.5648920355292593
173,2025-07-07,G,G1,60,0.1949,20000,32601,24.2,0,2,11,0,19162,26.6,12,5,MORTGAGE,debt_consolidation,Individual,0,-1.074416383347664
174,2024-11-09,B,B4,60,0.0772,20000,41339,8.2,0,0,4,0,6936,52.0,4,5,MORTGAGE,home_improvement,Individual,1,-0.6415751161587422
175,2024-07-12,D,D4,36,0.13,35000,69784,23.85,0,3,20,0,11088,5.0,29,0,MORTGAGE,small_business,Individual,0,-0.775574809435447
176,2021-04-29,C,C1,60,0.0978,15000,92396,35.87,1,1,8,0,7188,24.3,25,1,RENT,debt_consolidation,Individual,0,0.1782951632709815
177,2024-10-10,C,C1,36,0.096,20000,41720,4.15,0,1,11,0,2521,85.1,24,6,RENT,credit_card,Individual,0,-1.5101057658633692
178,2017-02-19,G,G1,36,0.2027,25000,90902,12.46,0,2,12,0,4470,54.2,20,10,MORTGAGE,debt_consolidation,Individual,1,-1.098816712927144
